SRR5291933_1.fastq	296_S296_L001_R1_001.fastq
SRR5291933_2.fastq	296_S296_L001_R2_001.fastq
SRR5291932_1.fastq	298_S298_L001_R1_001.fastq
SRR5291932_2.fastq	298_S298_L001_R2_001.fastq
SRR5291931_1.fastq	299_S299_L001_R1_001.fastq
SRR5291931_2.fastq	299_S299_L001_R2_001.fastq
SRR5291930_1.fastq	300_S300_L001_R1_001.fastq
SRR5291930_2.fastq	300_S300_L001_R2_001.fastq
SRR5291929_1.fastq	301_S301_L001_R1_001.fastq
SRR5291929_2.fastq	301_S301_L001_R2_001.fastq
SRR5291928_1.fastq	302_S302_L001_R1_001.fastq
SRR5291928_2.fastq	302_S302_L001_R2_001.fastq
SRR5291927_1.fastq	303_S303_L001_R1_001.fastq
SRR5291927_2.fastq	303_S303_L001_R2_001.fastq
SRR5291926_1.fastq	305_S305_L001_R1_001.fastq
SRR5291926_2.fastq	305_S305_L001_R2_001.fastq
SRR5291925_1.fastq	306_S306_L001_R1_001.fastq
SRR5291925_2.fastq	306_S306_L001_R2_001.fastq
SRR5291924_1.fastq	307_S307_L001_R1_001.fastq
SRR5291924_2.fastq	307_S307_L001_R2_001.fastq
SRR5291923_1.fastq	308_S308_L001_R1_001.fastq
SRR5291923_2.fastq	308_S308_L001_R2_001.fastq
SRR5291922_1.fastq	309_S309_L001_R1_001.fastq
SRR5291922_2.fastq	309_S309_L001_R2_001.fastq
SRR5291921_1.fastq	310_S310_L001_R1_001.fastq
SRR5291921_2.fastq	310_S310_L001_R2_001.fastq
SRR5291920_1.fastq	311_S311_L001_R1_001.fastq
SRR5291920_2.fastq	311_S311_L001_R2_001.fastq
SRR5291919_1.fastq	312_S312_L001_R1_001.fastq
SRR5291919_2.fastq	312_S312_L001_R2_001.fastq
SRR5291918_1.fastq	313_S313_L001_R1_001.fastq
SRR5291918_2.fastq	313_S313_L001_R2_001.fastq
SRR5291917_1.fastq	314_S314_L001_R1_001.fastq
SRR5291917_2.fastq	314_S314_L001_R2_001.fastq
SRR5291916_1.fastq	315_S315_L001_R1_001.fastq
SRR5291916_2.fastq	315_S315_L001_R2_001.fastq
SRR5291915_1.fastq	316_S316_L001_R1_001.fastq
SRR5291915_2.fastq	316_S316_L001_R2_001.fastq
SRR5291914_1.fastq	317_S317_L001_R1_001.fastq
SRR5291914_2.fastq	317_S317_L001_R2_001.fastq
SRR5291913_1.fastq	318_S318_L001_R1_001.fastq
SRR5291913_2.fastq	318_S318_L001_R2_001.fastq
SRR5291912_1.fastq	319_S319_L001_R1_001.fastq
SRR5291912_2.fastq	319_S319_L001_R2_001.fastq
SRR5291911_1.fastq	320_S320_L001_R1_001.fastq
SRR5291911_2.fastq	320_S320_L001_R2_001.fastq
SRR5291910_1.fastq	322_S322_L001_R1_001.fastq
SRR5291910_2.fastq	322_S322_L001_R2_001.fastq
SRR5291909_1.fastq	323_S323_L001_R1_001.fastq
SRR5291909_2.fastq	323_S323_L001_R2_001.fastq
SRR5291908_1.fastq	326_S326_L001_R1_001.fastq
SRR5291908_2.fastq	326_S326_L001_R2_001.fastq
SRR5291907_1.fastq	327_S327_L001_R1_001.fastq
SRR5291907_2.fastq	327_S327_L001_R2_001.fastq
SRR5291906_1.fastq	328_S328_L001_R1_001.fastq
SRR5291906_2.fastq	328_S328_L001_R2_001.fastq
SRR5291905_1.fastq	330_S330_L001_R1_001.fastq
SRR5291905_2.fastq	330_S330_L001_R2_001.fastq
SRR5291904_1.fastq	331_S331_L001_R1_001.fastq
SRR5291904_2.fastq	331_S331_L001_R2_001.fastq
SRR5291903_1.fastq	332_S332_L001_R1_001.fastq
SRR5291903_2.fastq	332_S332_L001_R2_001.fastq
SRR5291902_1.fastq	338_S338_L001_R1_001.fastq
SRR5291902_2.fastq	338_S338_L001_R2_001.fastq
SRR5291901_1.fastq	341_S341_L001_R1_001.fastq
SRR5291901_2.fastq	341_S341_L001_R2_001.fastq
SRR5291900_1.fastq	344_S344_L001_R1_001.fastq
SRR5291900_2.fastq	344_S344_L001_R2_001.fastq
SRR5291899_1.fastq	345_S345_L001_R1_001.fastq
SRR5291899_2.fastq	345_S345_L001_R2_001.fastq
SRR5291898_1.fastq	346_S346_L001_R1_001.fastq
SRR5291898_2.fastq	346_S346_L001_R2_001.fastq
SRR5291897_1.fastq	347_S347_L001_R1_001.fastq
SRR5291897_2.fastq	347_S347_L001_R2_001.fastq
SRR5291896_1.fastq	348_S348_L001_R1_001.fastq
SRR5291896_2.fastq	348_S348_L001_R2_001.fastq
SRR5291895_1.fastq	350_S350_L001_R1_001.fastq
SRR5291895_2.fastq	350_S350_L001_R2_001.fastq
SRR5291894_1.fastq	351_S351_L001_R1_001.fastq
SRR5291894_2.fastq	351_S351_L001_R2_001.fastq
SRR5291893_1.fastq	352_S352_L001_R1_001.fastq
SRR5291893_2.fastq	352_S352_L001_R2_001.fastq
SRR5291892_1.fastq	353_S353_L001_R1_001.fastq
SRR5291892_2.fastq	353_S353_L001_R2_001.fastq
SRR5291891_1.fastq	354_S354_L001_R1_001.fastq
SRR5291891_2.fastq	354_S354_L001_R2_001.fastq
SRR5291890_1.fastq	355_S355_L001_R1_001.fastq
SRR5291890_2.fastq	355_S355_L001_R2_001.fastq
SRR5291889_1.fastq	356_S356_L001_R1_001.fastq
SRR5291889_2.fastq	356_S356_L001_R2_001.fastq
SRR5291888_1.fastq	357_S357_L001_R1_001.fastq
SRR5291888_2.fastq	357_S357_L001_R2_001.fastq
SRR5291887_1.fastq	358_S358_L001_R1_001.fastq
SRR5291887_2.fastq	358_S358_L001_R2_001.fastq
SRR5291886_1.fastq	359_S359_L001_R1_001.fastq
SRR5291886_2.fastq	359_S359_L001_R2_001.fastq
SRR5291885_1.fastq	360_S360_L001_R1_001.fastq
SRR5291885_2.fastq	360_S360_L001_R2_001.fastq
SRR5291884_1.fastq	361_S361_L001_R1_001.fastq
SRR5291884_2.fastq	361_S361_L001_R2_001.fastq
SRR5291883_1.fastq	362_S362_L001_R1_001.fastq
