#SampleID	DNAPlate	Tube	AnimalID	Sex	Diet	Year	DMI_total_kg	days_fed	ADFI	gain_total	ADG	FE	perANS	perHHS	perARS	perSHS	perBMS	perBRS	perBNS	perSGS	perBVS	perCHS	perCAS	perGVS	perLMS	perMAS	perSAS	perSMS	perHH	perAN	perSM	perCH	perM2	perM3	perRS	perRO	Selected	Group
S379	6	56	81441	Heifer	Growing	2008	609.2	84	7.25	63	0.75	0.103	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	No	NA
S380	6	64	81233	Heifer	Growing	2008	640.5	84	7.63	93.5	1.11	0.146	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	Yes	BWGH-DMIH
S381	6	72	81397	Heifer	Growing	2008	618.2	84	7.36	69.1	0.82	0.112	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.25	0.25	0	No	NA
S382	6	80	81457	Heifer	Growing	2008	653.6	84	7.78	90	1.07	0.138	0	0.125	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.125	0	0.125	0	0	0	0.125	0	0	Yes	BWGH-DMIH
S481	2	97	133352	Steer	Finishing	2013	624.9	78	8.01	137.2	1.76	0.22	0	0	0	0	0	0	0.5	0	0	0	0	0.375	0	0	0	0	0	0.125	0	0	0	0	0	0	No	NA
S482	2	98	133151	Steer	Finishing	2013	642.3	78	8.23	132.5	1.7	0.206	0	0	0	0	0	0	0	0	0	0	0.875	0	0	0	0	0	0	0	0	0.125	0	0	0	0	No	NA
S483	2	99	133003	Steer	Finishing	2013	664.3	78	8.52	146.9	1.88	0.221	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0	No	NA
S484	2	100	133388	Steer	Finishing	2013	791.5	78	10.15	161	2.06	0.203	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.5	0	0	0	0	0	0.25	0	0	No	NA
S485	2	101	133181	Steer	Finishing	2013	511.8	78	6.56	107.3	1.38	0.21	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	Yes	BWGL-DMIL
S486	2	102	133078	Steer	Finishing	2013	648.8	78	8.32	116.1	1.49	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.25	0	0.25	0	0	0	0	0	Yes	BWGL-DMIL
S487	2	103	133056	Steer	Finishing	2013	708.6	78	9.08	130.5	1.67	0.184	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	No	NA
S488	2	104	133672	Steer	Finishing	2013	807.1	78	10.35	171.9	2.2	0.213	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.25	0	0	No	NA
S490	2	106	133703	Steer	Finishing	2013	702.1	78	9	157.5	2.02	0.224	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	No	NA
S491	2	107	133734	Steer	Finishing	2013	702.4	78	9.01	142.2	1.82	0.202	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	No	NA
S492	2	108	133044	Steer	Finishing	2013	712	78	9.13	139.7	1.79	0.196	0	0	0	0	0	0	0	0.875	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	No	NA
S493	2	109	133346	Steer	Finishing	2013	797.4	78	10.22	146.7	1.88	0.184	0	0.5625	0.0625	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.125	0	0	0	0	0	0	No	NA
